segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_836b79aec3e6,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Cloud,revenue,12260.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_baff89a7ddf4,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Network,revenue,7256.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_72df651c345c,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Search & other,revenue,50702.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8f7b41a68772,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Services,operating_income,32682.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2ba127271862,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google Services,revenue,77264.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c967d7db91b8,2025-03-31,2025,Q1,quarter,GOOGL,segment,Google subscriptions platforms and devices,revenue,10379.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_99c4b15bef4d,2025-03-31,2025,Q1,quarter,GOOGL,segment,Other Bets,operating_income,-1226.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2c7ae0d733d5,2025-03-31,2025,Q1,quarter,GOOGL,segment,Other Bets,revenue,450.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_37266cdb1030,2025-03-31,2025,Q1,quarter,GOOGL,segment,YouTube ads,revenue,8927.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.html,0001652044-25-000043,2025-04-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a2c60f55e049,2024-12-31,2024,Q4,year,GOOGL,segment,Google Cloud,operating_income,6112.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
